shapeclass,filename,featurevector
AircraftBuoyant,data/normalized/AircraftBuoyant/a1151.obj,"[0.02206600725568196, 0.0, 0.02767900723390489, 0.0017023835848781197, [0.146, 0.153, 0.108, 0.092, 0.086, 0.056, 0.054, 0.06, 0.05, 0.041, 0.05, 0.05, 0.033, 0.018, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.002, 0.035, 0.054, 0.118, 0.087, 0.063, 0.099, 0.069, 0.069, 0.076, 0.079, 0.059, 0.051, 0.055, 0.052, 0.017, 0.011, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.029, 0.121, 0.119, 0.099, 0.136, 0.1, 0.098, 0.109, 0.064, 0.045, 0.036, 0.026, 0.008, 0.005, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.015, 0.099, 0.18, 0.201, 0.181, 0.115, 0.08, 0.045, 0.026, 0.029, 0.016, 0.007, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.022, 0.127, 0.229, 0.245, 0.157, 0.123, 0.047, 0.034, 0.011, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/aa1614.obj,"[0.1301028706587104, 0.0, 0.08358796128122839, 0.00084045205782534, [0.137, 0.149, 0.098, 0.08, 0.071, 0.087, 0.09, 0.074, 0.039, 0.038, 0.046, 0.033, 0.037, 0.018, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.015, 0.015, 0.033, 0.034, 0.133, 0.034, 0.052, 0.069, 0.034, 0.027, 0.023, 0.025, 0.026, 0.157, 0.225, 0.086, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02, 0.048, 0.088, 0.101, 0.098, 0.11, 0.1, 0.028, 0.024, 0.028, 0.047, 0.068, 0.041, 0.04, 0.027, 0.07, 0.058, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.004, 0.028, 0.074, 0.106, 0.123, 0.158, 0.117, 0.089, 0.103, 0.074, 0.06, 0.03, 0.015, 0.018, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.006, 0.04, 0.095, 0.117, 0.154, 0.165, 0.136, 0.106, 0.074, 0.054, 0.034, 0.012, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1337.obj,"[0.23915385589633592, 0.0, 0.18357208419787652, 6.767993904053445e-05, [0.052, 0.108, 0.119, 0.136, 0.133, 0.152, 0.117, 0.07, 0.046, 0.027, 0.021, 0.007, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.136, 0.188, 0.077, 0.076, 0.101, 0.143, 0.271, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.009, 0.017, 0.027, 0.049, 0.045, 0.076, 0.072, 0.054, 0.064, 0.053, 0.077, 0.091, 0.092, 0.113, 0.091, 0.044, 0.024, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.005, 0.016, 0.031, 0.062, 0.051, 0.061, 0.1, 0.092, 0.064, 0.1, 0.099, 0.08, 0.091, 0.075, 0.047, 0.018, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.01, 0.023, 0.05, 0.058, 0.061, 0.092, 0.086, 0.077, 0.09, 0.085, 0.084, 0.08, 0.06, 0.042, 0.042, 0.029, 0.015, 0.013, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1338.obj,"[0.2356438035688981, 0.0, 0.17952093070807282, 9.91643329823372e-06, [0.031, 0.1, 0.127, 0.143, 0.136, 0.157, 0.117, 0.079, 0.055, 0.025, 0.017, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016, 0.1, 0.119, 0.075, 0.09, 0.177, 0.386, 0.037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.004, 0.019, 0.019, 0.032, 0.043, 0.053, 0.046, 0.069, 0.081, 0.089, 0.096, 0.095, 0.103, 0.116, 0.091, 0.03, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.002, 0.009, 0.02, 0.026, 0.044, 0.068, 0.072, 0.086, 0.088, 0.112, 0.088, 0.108, 0.113, 0.083, 0.051, 0.021, 0.009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.008, 0.018, 0.021, 0.039, 0.058, 0.058, 0.087, 0.087, 0.082, 0.089, 0.1, 0.08, 0.088, 0.07, 0.056, 0.028, 0.02, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1340.obj,"[0.13394188720830613, 0.0, 0.127410917474144, 0.0013557983463651883, [0.194, 0.15, 0.07, 0.065, 0.074, 0.077, 0.085, 0.07, 0.064, 0.04, 0.039, 0.029, 0.028, 0.011, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.005, 0.026, 0.036, 0.014, 0.038, 0.021, 0.013, 0.013, 0.048, 0.155, 0.193, 0.17, 0.081, 0.042, 0.077, 0.067, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.048, 0.096, 0.115, 0.054, 0.068, 0.085, 0.063, 0.054, 0.049, 0.037, 0.074, 0.075, 0.073, 0.067, 0.033, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.014, 0.072, 0.087, 0.105, 0.153, 0.173, 0.156, 0.089, 0.065, 0.05, 0.029, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.014, 0.072, 0.127, 0.18, 0.177, 0.171, 0.123, 0.086, 0.035, 0.011, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1341.obj,"[0.15527758086192744, 0.0, 0.14087831110655533, 0.0018161948939196555, [0.221, 0.19, 0.079, 0.057, 0.053, 0.064, 0.048, 0.048, 0.044, 0.044, 0.042, 0.046, 0.038, 0.023, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.007, 0.009, 0.087, 0.098, 0.031, 0.067, 0.03, 0.02, 0.025, 0.013, 0.066, 0.093, 0.065, 0.09, 0.119, 0.081, 0.099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.043, 0.12, 0.131, 0.052, 0.075, 0.078, 0.076, 0.07, 0.077, 0.069, 0.049, 0.025, 0.03, 0.039, 0.031, 0.029, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.018, 0.069, 0.133, 0.17, 0.194, 0.178, 0.108, 0.084, 0.02, 0.011, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.021, 0.096, 0.226, 0.234, 0.192, 0.136, 0.059, 0.021, 0.009, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1343.obj,"[0.286187217018492, 0.0, 0.2270575609561179, 5.693013156907683e-05, [0.055, 0.087, 0.091, 0.163, 0.135, 0.141, 0.093, 0.093, 0.069, 0.037, 0.017, 0.01, 0.007, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.001, 0.001, 0.002, 0.003, 0.001, 0.005, 0.04, 0.076, 0.136, 0.192, 0.128, 0.101, 0.077, 0.076, 0.077, 0.083, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.01, 0.025, 0.04, 0.064, 0.068, 0.064, 0.093, 0.117, 0.117, 0.14, 0.108, 0.091, 0.023, 0.014, 0.015, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.006, 0.025, 0.042, 0.064, 0.098, 0.115, 0.109, 0.131, 0.13, 0.099, 0.103, 0.042, 0.024, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.016, 0.046, 0.046, 0.079, 0.094, 0.112, 0.109, 0.114, 0.09, 0.103, 0.077, 0.061, 0.038, 0.01, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1344.obj,"[0.21155978630901284, 0.0, 0.19227370339731117, 9.441828008549171e-05, [0.077, 0.081, 0.121, 0.141, 0.126, 0.122, 0.112, 0.079, 0.052, 0.045, 0.021, 0.014, 0.005, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034, 0.001, 0.012, 0.024, 0.131, 0.067, 0.125, 0.085, 0.171, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.014, 0.038, 0.041, 0.041, 0.059, 0.064, 0.067, 0.074, 0.074, 0.129, 0.12, 0.082, 0.041, 0.051, 0.06, 0.031, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.003, 0.007, 0.024, 0.035, 0.066, 0.079, 0.095, 0.113, 0.088, 0.119, 0.111, 0.09, 0.056, 0.06, 0.044, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.002, 0.018, 0.03, 0.065, 0.074, 0.092, 0.097, 0.116, 0.099, 0.087, 0.09, 0.073, 0.056, 0.039, 0.028, 0.022, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1345.obj,"[0.0014387264470887891, 0.0, 0.0014129733961263144, 8.08214590848553e-05, [0.038, 0.092, 0.126, 0.16, 0.143, 0.129, 0.111, 0.082, 0.054, 0.021, 0.021, 0.014, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.041, 0.1, 0.027, 0.028, 0.034, 0.059, 0.053, 0.079, 0.077, 0.065, 0.067, 0.109, 0.261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.015, 0.035, 0.049, 0.06, 0.074, 0.107, 0.106, 0.14, 0.173, 0.121, 0.055, 0.023, 0.014, 0.009, 0.007, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.003, 0.015, 0.033, 0.051, 0.098, 0.136, 0.123, 0.164, 0.156, 0.115, 0.058, 0.029, 0.01, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.005, 0.019, 0.032, 0.074, 0.105, 0.113, 0.129, 0.14, 0.122, 0.109, 0.077, 0.051, 0.014, 0.007, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
AircraftBuoyant,data/normalized/AircraftBuoyant/m1350.obj,"[0.21094343603319685, 0.0, 0.14190825295353807, 0.0011464572897084073, [0.118, 0.143, 0.121, 0.093, 0.102, 0.074, 0.081, 0.065, 0.054, 0.039, 0.054, 0.036, 0.014, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.006, 0.031, 0.025, 0.128, 0.213, 0.102, 0.057, 0.037, 0.026, 0.028, 0.071, 0.115, 0.097, 0.064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.067, 0.052, 0.1, 0.098, 0.102, 0.111, 0.087, 0.024, 0.038, 0.06, 0.089, 0.066, 0.026, 0.016, 0.033, 0.028, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.028, 0.104, 0.095, 0.098, 0.141, 0.132, 0.131, 0.121, 0.089, 0.05, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.031, 0.119, 0.151, 0.153, 0.122, 0.143, 0.147, 0.073, 0.053, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
