shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.583,0.583,0.999,0.999501,0.583333
Apartment,0.611,0.611,0.9991,0.999534,0.611111
AquaticAnimal,0.688,0.688,0.9993,0.999626,0.6875
Bed,0.705,0.705,0.9993,0.999646,0.704545
Bicycle,0.95,0.95,0.9999,0.99994,0.95
Biplane,0.614,0.614,0.9991,0.999538,0.614286
Bird,0.703,0.703,0.9993,0.999644,0.703125
Bottle,0.69,0.69,0.9993,0.999629,0.690476
BuildingNonResidential,0.581,0.581,0.999,0.999498,0.580645
Bus,0.542,0.542,0.9989,0.999451,0.541667
Car,0.765,0.765,0.9994,0.999718,0.764706
Cellphone,0.727,0.727,0.9993,0.999673,0.727273
Chess,0.9,0.9,0.9998,0.99988,0.9
City,0.792,0.792,0.9995,0.99975,0.791667
ClassicPiano,0.5,0.5,0.9988,0.999401,0.5
Computer,0.9,0.9,0.9998,0.99988,0.9
ComputerKeyboard,0.625,0.625,0.9991,0.999551,0.625
Cup,0.759,0.759,0.9994,0.999712,0.759259
DeskLamp,0.727,0.727,0.9993,0.999673,0.727273
DeskPhone,0.5,0.5,0.9988,0.999401,0.5
Door,0.922,0.922,0.9998,0.999906,0.921875
Drum,0.5,0.5,0.9988,0.999401,0.5
Fish,0.5,0.5,0.9988,0.999401,0.5
FloorLamp,0.604,0.604,0.9991,0.999526,0.604167
Glasses,0.967,0.967,0.9999,0.99996,0.966667
Guitar,0.536,0.536,0.9989,0.999444,0.535714
Gun,0.693,0.693,0.9993,0.999633,0.693182
Hand,0.932,0.932,0.9998,0.999919,0.932432
Hat,0.591,0.591,0.999,0.99951,0.590909
Helicopter,0.847,0.847,0.9996,0.999817,0.847222
House,0.652,0.652,0.9992,0.999583,0.652174
HumanHead,0.846,0.846,0.9996,0.999816,0.846154
Humanoid,0.814,0.814,0.9996,0.999778,0.814286
Insect,0.686,0.686,0.9992,0.999624,0.686275
Jet,0.777,0.777,0.9995,0.999732,0.776596
Knife,0.5,0.5,0.9988,0.999401,0.5
MilitaryVehicle,0.667,0.667,0.9992,0.999601,0.666667
Monitor,0.654,0.654,0.9992,0.999585,0.653846
Monoplane,0.562,0.562,0.999,0.999476,0.5625
Motorcycle,0.795,0.795,0.9995,0.999755,0.795455
Mug,0.65,0.65,0.9992,0.999581,0.65
MultiSeat,0.646,0.646,0.9992,0.999576,0.646341
Musical_Instrument,0.5,0.5,0.9988,0.999401,0.5
NonWheelChair,0.722,0.722,0.9993,0.999667,0.722222
PianoBoard,0.5,0.5,0.9988,0.999401,0.5
PlantIndoors,0.678,0.678,0.9992,0.999614,0.677778
PlantWildNonTree,0.5,0.5,0.9988,0.999401,0.5
Quadruped,0.72,0.72,0.9993,0.999664,0.719512
RectangleTable,0.744,0.744,0.9994,0.999694,0.744444
Rocket,0.633,0.633,0.9991,0.999561,0.633333
RoundTable,0.704,0.704,0.9993,0.999645,0.703704
Shelf,0.648,0.648,0.9992,0.999579,0.648148
Ship,0.675,0.675,0.9992,0.999611,0.675
Sign,0.5,0.5,0.9988,0.999401,0.5
Skyscraper,0.556,0.556,0.9989,0.999468,0.555556
Spoon,0.5,0.5,0.9988,0.999401,0.5
Starship,0.591,0.591,0.999,0.99951,0.590909
SubmachineGun,0.5,0.5,0.9988,0.999401,0.5
Sword,0.829,0.829,0.9996,0.999796,0.829268
Tool,0.744,0.744,0.9994,0.999693,0.74359
Train,0.611,0.611,0.9991,0.999534,0.611111
Tree,0.632,0.632,0.9991,0.999559,0.631579
Truck,0.5,0.5,0.9988,0.999401,0.5
TruckNonContainer,0.55,0.55,0.9989,0.999461,0.55
Vase,0.588,0.588,0.999,0.999507,0.588235
Violin,0.5,0.5,0.9988,0.999401,0.5
Wheel,0.633,0.633,0.9991,0.999561,0.633333
WheelChair,0.583,0.583,0.999,0.999501,0.583333
total,0.711,0.711,0.9993,0.999654,0.711124
