shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,58,58,14498,12
Apartment,3,15,15,3624,3
AquaticAnimal,14,52,52,13291,11
Bed,48,60,60,21774,18
Bicycle,20,16,16,7262,6
Biplane,54,84,84,27815,23
Bird,55,113,113,33851,28
Bottle,46,68,68,22979,19
BuildingNonResidential,41,121,121,32630,27
Car,69,75,75,29037,24
Cellphone,9,27,27,7251,6
Chess,155,73,73,46021,38
City,4,8,8,2418,2
Computer,41,73,73,22974,19
Cup,59,97,97,31441,26
DeskLamp,37,77,77,22970,19
DeskPhone,12,48,48,12082,10
Door,102,78,78,36312,30
FloorLamp,28,92,92,24168,20
Glasses,79,11,11,18184,15
Guitar,10,38,38,9666,8
Gun,77,145,145,44736,37
Hand,114,96,96,42359,35
Hat,19,41,41,12089,10
Helicopter,63,75,75,27824,23
House,8,40,40,9664,8
HumanHead,59,37,37,19371,16
Humanoid,311,169,169,96871,80
Insect,84,186,186,54399,45
Jet,335,199,199,107758,89
Knife,8,34,34,8457,7
MilitaryVehicle,3,15,15,3624,3
Monitor,9,33,33,8458,7
Monoplane,21,69,69,18126,15
Motorcycle,15,27,27,8464,7
Mug,38,76,76,22971,19
MultiSeat,65,157,157,44724,37
Musical_Instrument,10,44,44,10873,9
NonWheelChair,140,118,118,52041,43
PlantIndoors,61,131,131,38685,32
PlantWildNonTree,9,39,39,9665,8
Quadruped,57,93,93,30232,25
RectangleTable,128,136,136,53236,44
Rocket,23,61,61,16921,14
RoundTable,64,98,98,32653,27
Shelf,55,89,89,29023,24
Ship,63,105,105,33859,28
Sign,11,49,49,12081,10
Skyscraper,2,10,10,2416,2
Starship,15,63,63,15706,13
SubmachineGun,9,27,27,7251,6
Sword,113,79,79,38737,32
Tool,138,96,96,47211,39
Train,9,39,39,9665,8
Tree,15,57,57,14499,12
Truck,1,5,5,1208,1
Vase,27,75,75,20546,17
Wheel,29,61,61,18134,15
WheelChair,10,38,38,9666,8
total,3118,4196,4196,1474451,1219
