shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,82,82,19886,12
Apartment,24,120,120,29832,18
AquaticAnimal,35,93,93,26531,16
Bed,58,118,118,36490,22
Bicycle,103,57,57,33223,20
Biplane,96,184,184,58056,35
Bird,81,175,175,53073,32
Bottle,31,137,137,34807,21
BuildingNonResidential,53,195,195,51389,31
Bus,16,80,80,19888,12
Car,317,227,227,112925,68
Cellphone,32,56,56,18248,11
Chess,187,133,133,66427,40
City,24,72,72,19896,12
ClassicPiano,7,41,41,9943,6
Computer,51,109,109,33171,20
ComputerKeyboard,9,23,23,6633,4
Cup,73,143,143,44785,27
DeskLamp,43,133,133,36475,22
DeskPhone,43,109,109,31507,19
Door,105,151,151,53097,32
Drum,5,35,35,8285,5
Fish,1,7,7,1657,1
FloorLamp,28,164,164,39772,24
Glasses,56,64,64,24896,15
Guitar,26,86,86,23210,14
Gun,106,246,246,72970,44
Hand,147,149,149,61419,37
Hat,17,71,71,18233,11
Helicopter,116,172,172,59732,36
House,35,149,149,38123,23
HumanHead,111,97,97,43167,26
Humanoid,530,310,310,174410,105
Insect,131,277,277,84587,51
Jet,392,360,360,156056,94
Knife,10,46,46,11602,7
MilitaryVehicle,39,81,81,24879,15
Monitor,30,74,74,21558,13
Monoplane,28,100,100,26524,16
Motorcycle,74,102,102,36506,22
Mug,58,102,102,33178,20
MultiSeat,117,211,211,68013,41
Musical_Instrument,28,92,92,24868,15
NonWheelChair,158,202,202,74678,45
PianoBoard,4,20,20,4972,3
PlantIndoors,117,243,243,74637,45
PlantWildNonTree,21,107,107,26517,16
Quadruped,122,206,206,68018,41
RectangleTable,145,215,215,74665,45
Rocket,23,97,97,24863,15
RoundTable,52,164,164,44764,27
Shelf,48,168,168,44760,27
Ship,80,240,240,66320,40
Sign,12,68,68,16572,10
Skyscraper,27,117,117,29835,18
Spoon,2,14,14,3314,2
Starship,32,144,144,36464,22
SubmachineGun,18,70,70,18234,11
Sword,221,107,107,68117,41
Tool,173,139,139,64757,39
Train,30,114,114,29838,18
Tree,30,122,122,31494,19
Truck,22,98,98,24862,15
TruckNonContainer,19,61,61,16579,10
Vase,23,113,113,28175,17
Violin,5,27,27,6629,4
Wheel,22,98,98,24862,15
WheelChair,22,74,74,19894,12
total,4915,8461,8461,2773747,1672
