shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.233,0.233,0.9954,0.9977,0.233333
Apartment,0.256,0.256,0.9955,0.997767,0.255556
AquaticAnimal,0.412,0.412,0.9965,0.998238,0.4125
Bed,0.409,0.409,0.9965,0.998228,0.409091
Bicycle,0.72,0.72,0.9983,0.99916,0.72
Biplane,0.411,0.411,0.9965,0.998235,0.411429
Bird,0.412,0.412,0.9965,0.998238,0.4125
Bottle,0.286,0.286,0.9957,0.997858,0.285714
BuildingNonResidential,0.297,0.297,0.9958,0.997891,0.296774
Bus,0.233,0.233,0.9954,0.9977,0.233333
Car,0.629,0.629,0.9978,0.998888,0.629412
Cellphone,0.527,0.527,0.9972,0.998582,0.527273
Chess,0.68,0.68,0.9981,0.99904,0.68
City,0.4,0.4,0.9964,0.9982,0.4
ClassicPiano,0.2,0.2,0.9952,0.9976,0.2
Computer,0.46,0.46,0.9968,0.99838,0.46
ComputerKeyboard,0.4,0.4,0.9964,0.9982,0.4
Cup,0.459,0.459,0.9968,0.998378,0.459259
DeskLamp,0.373,0.373,0.9962,0.998119,0.372727
DeskPhone,0.358,0.358,0.9962,0.998074,0.357895
Door,0.519,0.519,0.9971,0.998557,0.51875
Drum,0.2,0.2,0.9952,0.9976,0.2
Fish,0.2,0.2,0.9952,0.9976,0.2
FloorLamp,0.233,0.233,0.9954,0.9977,0.233333
Glasses,0.613,0.613,0.9977,0.99884,0.613333
Guitar,0.329,0.329,0.996,0.997986,0.328571
Gun,0.395,0.395,0.9964,0.998187,0.395455
Hand,0.611,0.611,0.9977,0.998833,0.610811
Hat,0.255,0.255,0.9955,0.997764,0.254545
Helicopter,0.511,0.511,0.9971,0.998534,0.511111
House,0.304,0.304,0.9958,0.997913,0.304348
HumanHead,0.638,0.638,0.9978,0.998916,0.638462
Humanoid,0.697,0.697,0.9982,0.999092,0.697143
Insect,0.392,0.392,0.9964,0.998177,0.392157
Jet,0.589,0.589,0.9975,0.998768,0.589362
Knife,0.286,0.286,0.9957,0.997858,0.285714
MilitaryVehicle,0.413,0.413,0.9965,0.99824,0.413333
Monitor,0.369,0.369,0.9962,0.998108,0.369231
Monoplane,0.275,0.275,0.9957,0.997825,0.275
Motorcycle,0.545,0.545,0.9973,0.998637,0.545455
Mug,0.43,0.43,0.9966,0.99829,0.43
MultiSeat,0.449,0.449,0.9967,0.998347,0.44878
Musical_Instrument,0.267,0.267,0.9956,0.9978,0.266667
NonWheelChair,0.498,0.498,0.997,0.998494,0.497778
PianoBoard,0.2,0.2,0.9952,0.9976,0.2
PlantIndoors,0.409,0.409,0.9965,0.998227,0.408889
PlantWildNonTree,0.25,0.25,0.9955,0.99775,0.25
Quadruped,0.454,0.454,0.9967,0.998361,0.453659
RectangleTable,0.52,0.52,0.9971,0.99856,0.52
Rocket,0.307,0.307,0.9959,0.99792,0.306667
RoundTable,0.319,0.319,0.9959,0.997956,0.318519
Shelf,0.311,0.311,0.9959,0.997934,0.311111
Ship,0.335,0.335,0.996,0.998005,0.335
Sign,0.24,0.24,0.9955,0.99772,0.24
Skyscraper,0.267,0.267,0.9956,0.9978,0.266667
Spoon,0.2,0.2,0.9952,0.9976,0.2
Starship,0.291,0.291,0.9958,0.997873,0.290909
SubmachineGun,0.309,0.309,0.9959,0.997928,0.309091
Sword,0.698,0.698,0.9982,0.999093,0.697561
Tool,0.621,0.621,0.9977,0.998862,0.620513
Train,0.3,0.3,0.9958,0.9979,0.3
Tree,0.284,0.284,0.9957,0.997853,0.284211
Truck,0.253,0.253,0.9955,0.99776,0.253333
TruckNonContainer,0.32,0.32,0.9959,0.99796,0.32
Vase,0.247,0.247,0.9955,0.997742,0.247059
Violin,0.25,0.25,0.9955,0.99775,0.25
Wheel,0.28,0.28,0.9957,0.99784,0.28
WheelChair,0.317,0.317,0.9959,0.99795,0.316667
total,0.453,0.453,0.9967,0.99836,0.45311
