querypath,queryclass,queryresults
data/normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,"['AircraftBuoyant', 'AircraftBuoyant', 'Mug', 'HumanHead', 'AircraftBuoyant', 'Wheel', 'HumanHead', 'Drum', 'Hat', 'Monitor', 'Monitor', 'Vase', 'Monitor', 'Cup', 'Monitor', 'MultiSeat', 'House', 'Wheel', 'HumanHead', 'Mug', 'HumanHead', 'Apartment', 'HumanHead', 'HumanHead', 'Drum', 'Vase', 'Cup', 'Computer', 'Computer', 'Monitor', 'Wheel', 'MultiSeat', 'House', 'Wheel', 'HumanHead', 'BuildingNonResidential', 'House', 'Car', 'BuildingNonResidential', 'Monitor', 'Shelf', 'Hand', 'Wheel', 'Mug', 'Hand', 'Mug', 'Bed', 'Vase', 'HumanHead', 'Bed', 'MultiSeat', 'House', 'Apartment', 'Vase', 'Mug', 'MultiSeat', 'HumanHead', 'Vase', 'Shelf', 'RoundTable', 'Vase', 'HumanHead', 'FloorLamp', 'BuildingNonResidential', 'Mug', 'RectangleTable', 'AircraftBuoyant', 'Vase', 'MultiSeat', 'Chess', 'RectangleTable', 'BuildingNonResidential', 'HumanHead', 'BuildingNonResidential', 'Chess', 'Wheel', 'HumanHead', 'Wheel', 'RectangleTable', 'RoundTable', 'Wheel', 'Chess', 'MultiSeat', 'MultiSeat', 'RoundTable', 'Mug', 'MultiSeat', 'Mug', 'Drum', 'Bottle', 'Bed', 'Mug', 'RoundTable', 'Starship', 'MultiSeat', 'Quadruped', 'Car', 'Vase', 'Bottle', 'HumanHead']"
data/normalized/AircraftBuoyant/m1341.obj,AircraftBuoyant,"['AircraftBuoyant', 'Humanoid', 'Violin', 'Guitar', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Ship', 'Humanoid', 'Gun', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Gun', 'Humanoid', 'Humanoid', 'Humanoid', 'Ship', 'Humanoid', 'Humanoid', 'Humanoid', 'Guitar', 'Humanoid', 'Humanoid', 'Ship', 'Bottle', 'AquaticAnimal', 'Humanoid', 'Skyscraper', 'Humanoid', 'BuildingNonResidential', 'Humanoid', 'Gun', 'Chess', 'Truck', 'Humanoid', 'Tool', 'Tool', 'Bus', 'Musical_Instrument', 'AquaticAnimal', 'Hand', 'Humanoid', 'Humanoid', 'Humanoid', 'AquaticAnimal', 'Gun', 'Truck', 'Musical_Instrument', 'Humanoid', 'Humanoid', 'Humanoid', 'Hand', 'Humanoid', 'Bottle', 'Tool', 'MultiSeat', 'Fish', 'Chess', 'Humanoid', 'Guitar', 'Guitar', 'Train', 'Humanoid', 'Tool', 'Humanoid', 'SubmachineGun', 'Humanoid', 'Humanoid', 'Train', 'Gun', 'AquaticAnimal', 'Ship', 'Humanoid', 'Jet', 'BuildingNonResidential', 'Train', 'Humanoid', 'Humanoid', 'Skyscraper', 'Humanoid', 'Guitar', 'MultiSeat', 'Hand', 'Tool', 'Humanoid', 'Humanoid', 'Starship', 'Tool', 'Gun', 'Truck', 'Humanoid', 'Rocket', 'Tool', 'Gun', 'AircraftBuoyant', 'Car']"
data/normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,"['AircraftBuoyant', 'House', 'TruckNonContainer', 'Quadruped', 'Car', 'Gun', 'Motorcycle', 'Motorcycle', 'Motorcycle', 'Quadruped', 'Chess', 'Car', 'Chess', 'Humanoid', 'Chess', 'Chess', 'Chess', 'Gun', 'Car', 'MultiSeat', 'Cellphone', 'Humanoid', 'Car', 'DeskPhone', 'Guitar', 'Motorcycle', 'Chess', 'Car', 'TruckNonContainer', 'Chess', 'DeskPhone', 'Humanoid', 'Chess', 'Quadruped', 'Quadruped', 'Humanoid', 'BuildingNonResidential', 'MultiSeat', 'Car', 'DeskPhone', 'Chess', 'Motorcycle', 'Truck', 'Hand', 'Truck', 'Bus', 'Hand', 'AircraftBuoyant', 'Quadruped', 'Rocket', 'MultiSeat', 'MultiSeat', 'Car', 'BuildingNonResidential', 'Chess', 'Quadruped', 'TruckNonContainer', 'Gun', 'DeskPhone', 'Car', 'Hand', 'Car', 'Quadruped', 'Chess', 'Ship', 'MultiSeat', 'RectangleTable', 'Quadruped', 'Ship', 'Hand', 'Humanoid', 'Computer', 'Quadruped', 'Humanoid', 'Car', 'Chess', 'Musical_Instrument', 'DeskPhone', 'DeskPhone', 'Car', 'ClassicPiano', 'Humanoid', 'Skyscraper', 'Skyscraper', 'Train', 'Car', 'Chess', 'Car', 'Computer', 'Vase', 'MilitaryVehicle', 'AquaticAnimal', 'Humanoid', 'Car', 'Hand', 'Truck', 'Chess', 'Car', 'Truck', 'Car']"
data/normalized/AircraftBuoyant/m1343.obj,AircraftBuoyant,"['AircraftBuoyant', 'HumanHead', 'HumanHead', 'HumanHead', 'HumanHead', 'HumanHead', 'Cup', 'HumanHead', 'Apartment', 'Hand', 'Hand', 'HumanHead', 'Train', 'HumanHead', 'Monitor', 'Computer', 'HumanHead', 'Computer', 'HumanHead', 'Starship', 'AircraftBuoyant', 'House', 'HumanHead', 'Monitor', 'HumanHead', 'HumanHead', 'MultiSeat', 'Shelf', 'Bottle', 'HumanHead', 'Car', 'HumanHead', 'Quadruped', 'Chess', 'Hand', 'Car', 'Monitor', 'Hat', 'Chess', 'Quadruped', 'Apartment', 'HumanHead', 'Quadruped', 'Bottle', 'HumanHead', 'Car', 'Wheel', 'Wheel', 'Apartment', 'Car', 'Wheel', 'Wheel', 'Skyscraper', 'Vase', 'Bottle', 'MultiSeat', 'Train', 'Car', 'Car', 'Wheel', 'Vase', 'Car', 'MultiSeat', 'MilitaryVehicle', 'Wheel', 'Car', 'Monitor', 'MultiSeat', 'Car', 'Insect', 'Bird', 'Monitor', 'Hand', 'Car', 'Hand', 'Computer', 'MilitaryVehicle', 'Bird', 'MultiSeat', 'BuildingNonResidential', 'Hand', 'House', 'Car', 'MultiSeat', 'MultiSeat', 'Monitor', 'MilitaryVehicle', 'Car', 'Car', 'Car', 'Car', 'RoundTable', 'Hand', 'Car', 'MultiSeat', 'Car', 'DeskPhone', 'Cup', 'Car', 'Bus']"
data/normalized/AircraftBuoyant/m1352.obj,AircraftBuoyant,"['AircraftBuoyant', 'Rocket', 'Quadruped', 'Apartment', 'Truck', 'Humanoid', 'Bird', 'DeskPhone', 'Train', 'DeskPhone', 'DeskPhone', 'BuildingNonResidential', 'Bird', 'Humanoid', 'Hand', 'Hand', 'Hand', 'Car', 'Vase', 'Bird', 'Skyscraper', 'Starship', 'HumanHead', 'Quadruped', 'Hand', 'Hand', 'AircraftBuoyant', 'Car', 'Chess', 'TruckNonContainer', 'MultiSeat', 'Hand', 'Train', 'BuildingNonResidential', 'Rocket', 'AquaticAnimal', 'Hand', 'Hand', 'Humanoid', 'MultiSeat', 'DeskPhone', 'Skyscraper', 'Gun', 'Car', 'Hand', 'MultiSeat', 'Quadruped', 'Hand', 'Tree', 'Hand', 'Gun', 'Humanoid', 'Hand', 'Chess', 'Wheel', 'MilitaryVehicle', 'Quadruped', 'Insect', 'Tool', 'Car', 'Car', 'Hand', 'Car', 'MilitaryVehicle', 'Hand', 'Hand', 'Chess', 'Humanoid', 'Motorcycle', 'Hand', 'Quadruped', 'Hand', 'Motorcycle', 'Quadruped', 'Chess', 'Car', 'DeskPhone', 'Starship', 'Car', 'Starship', 'Shelf', 'Quadruped', 'Hand', 'Chess', 'Hand', 'Car', 'Car', 'Skyscraper', 'Car', 'Apartment', 'Hand', 'Hand', 'Car', 'Train', 'Musical_Instrument', 'Car', 'Quadruped', 'Truck', 'DeskPhone', 'Quadruped']"
data/normalized/AircraftBuoyant/m1344.obj,AircraftBuoyant,"['AircraftBuoyant', 'Monitor', 'HumanHead', 'Hat', 'HumanHead', 'HumanHead', 'Monitor', 'HumanHead', 'Vase', 'Monitor', 'HumanHead', 'Monitor', 'Monitor', 'HumanHead', 'AircraftBuoyant', 'Wheel', 'Hand', 'HumanHead', 'Hand', 'Cup', 'Wheel', 'Mug', 'House', 'Monitor', 'Computer', 'MultiSeat', 'Computer', 'Car', 'HumanHead', 'HumanHead', 'Vase', 'Wheel', 'AircraftBuoyant', 'Wheel', 'MultiSeat', 'Mug', 'Quadruped', 'Chess', 'Chess', 'HumanHead', 'Apartment', 'Chess', 'MultiSeat', 'Shelf', 'Shelf', 'AircraftBuoyant', 'MultiSeat', 'Wheel', 'Vase', 'House', 'Cup', 'HumanHead', 'HumanHead', 'MultiSeat', 'Car', 'Mug', 'Wheel', 'Chess', 'Car', 'Mug', 'Bottle', 'Apartment', 'RoundTable', 'Apartment', 'HumanHead', 'MultiSeat', 'RoundTable', 'Drum', 'Apartment', 'BuildingNonResidential', 'HumanHead', 'Drum', 'TruckNonContainer', 'Apartment', 'Bed', 'MultiSeat', 'Quadruped', 'Vase', 'Car', 'Car', 'MultiSeat', 'Wheel', 'House', 'Car', 'Bottle', 'Vase', 'RoundTable', 'Starship', 'Chess', 'MultiSeat', 'Quadruped', 'HumanHead', 'Hand', 'Car', 'Bus', 'House', 'MultiSeat', 'BuildingNonResidential', 'Chess', 'MultiSeat']"
data/normalized/AircraftBuoyant/m1350.obj,AircraftBuoyant,"['AircraftBuoyant', 'Cellphone', 'Vase', 'Apartment', 'MultiSeat', 'Guitar', 'Quadruped', 'Truck', 'Truck', 'Car', 'Train', 'Car', 'House', 'Humanoid', 'AircraftBuoyant', 'Chess', 'Chess', 'TruckNonContainer', 'MultiSeat', 'Motorcycle', 'DeskPhone', 'Chess', 'Skyscraper', 'Humanoid', 'Hand', 'DeskPhone', 'Quadruped', 'Humanoid', 'Skyscraper', 'Chess', 'Gun', 'BuildingNonResidential', 'Hand', 'Musical_Instrument', 'BuildingNonResidential', 'Hand', 'Car', 'Car', 'Hand', 'Rocket', 'Rocket', 'Bird', 'Car', 'Train', 'DeskPhone', 'Quadruped', 'TruckNonContainer', 'Train', 'Humanoid', 'AircraftBuoyant', 'Car', 'DeskPhone', 'Hand', 'Car', 'BuildingNonResidential', 'Humanoid', 'MultiSeat', 'Car', 'Quadruped', 'Car', 'Bus', 'Chess', 'Gun', 'Hand', 'Ship', 'Chess', 'Car', 'Chess', 'Train', 'Humanoid', 'Chess', 'Hand', 'Apartment', 'Car', 'MultiSeat', 'Quadruped', 'House', 'Car', 'DeskPhone', 'MultiSeat', 'Monitor', 'Ship', 'Car', 'Car', 'Monitor', 'Hand', 'Car', 'Car', 'Hand', 'DeskPhone', 'Train', 'Chess', 'Chess', 'Cellphone', 'AquaticAnimal', 'Car', 'Hand', 'Cellphone', 'Bird', 'Skyscraper']"
data/normalized/AircraftBuoyant/m1351.obj,AircraftBuoyant,"['AircraftBuoyant', 'Bottle', 'Gun', 'Computer', 'Humanoid', 'Gun', 'Bottle', 'Cellphone', 'Bus', 'Cellphone', 'Rocket', 'Gun', 'BuildingNonResidential', 'Humanoid', 'Ship', 'Truck', 'Violin', 'Bus', 'Cellphone', 'Train', 'Bottle', 'Bottle', 'House', 'Gun', 'Rocket', 'Bottle', 'Bottle', 'Humanoid', 'Skyscraper', 'HumanHead', 'Gun', 'Rocket', 'Train', 'City', 'Train', 'DeskPhone', 'Gun', 'Skyscraper', 'House', 'Rocket', 'AquaticAnimal', 'MultiSeat', 'Skyscraper', 'Guitar', 'Gun', 'Ship', 'Train', 'Cellphone', 'PlantIndoors', 'Bus', 'Skyscraper', 'DeskPhone', 'MultiSeat', 'Humanoid', 'Gun', 'Truck', 'Train', 'Humanoid', 'Cellphone', 'TruckNonContainer', 'Cellphone', 'Rocket', 'AquaticAnimal', 'Humanoid', 'Bottle', 'MultiSeat', 'Humanoid', 'Train', 'AircraftBuoyant', 'Bottle', 'Ship', 'Ship', 'Ship', 'Car', 'Musical_Instrument', 'Gun', 'Shelf', 'Gun', 'Cellphone', 'Sign', 'Humanoid', 'Gun', 'DeskPhone', 'Hand', 'Guitar', 'Tool', 'Tool', 'Guitar', 'Ship', 'Rocket', 'Hand', 'Humanoid', 'Violin', 'MultiSeat', 'Car', 'Musical_Instrument', 'Jet', 'Monitor', 'Tool', 'ComputerKeyboard']"
data/normalized/AircraftBuoyant/m1345.obj,AircraftBuoyant,"['AircraftBuoyant', 'PlantIndoors', 'PlantIndoors', 'NonWheelChair', 'NonWheelChair', 'WheelChair', 'House', 'Hat', 'BuildingNonResidential', 'PlantIndoors', 'NonWheelChair', 'NonWheelChair', 'House', 'PlantIndoors', 'Tree', 'PlantIndoors', 'House', 'WheelChair', 'NonWheelChair', 'NonWheelChair', 'PlantIndoors', 'PlantWildNonTree', 'Car', 'Tree', 'DeskLamp', 'PlantIndoors', 'PlantIndoors', 'WheelChair', 'NonWheelChair', 'Insect', 'NonWheelChair', 'NonWheelChair', 'Wheel', 'MultiSeat', 'Quadruped', 'Car', 'NonWheelChair', 'NonWheelChair', 'BuildingNonResidential', 'Apartment', 'Hat', 'Car', 'NonWheelChair', 'NonWheelChair', 'Apartment', 'NonWheelChair', 'PlantIndoors', 'NonWheelChair', 'RectangleTable', 'NonWheelChair', 'NonWheelChair', 'Shelf', 'PlantIndoors', 'Quadruped', 'NonWheelChair', 'Car', 'WheelChair', 'Shelf', 'Starship', 'Ship', 'PlantIndoors', 'Cup', 'NonWheelChair', 'PlantWildNonTree', 'Shelf', 'Wheel', 'PlantIndoors', 'NonWheelChair', 'Apartment', 'NonWheelChair', 'Hat', 'FloorLamp', 'Shelf', 'Shelf', 'Biplane', 'NonWheelChair', 'BuildingNonResidential', 'ClassicPiano', 'Shelf', 'NonWheelChair', 'Cup', 'RectangleTable', 'FloorLamp', 'Tree', 'Computer', 'RectangleTable', 'NonWheelChair', 'Insect', 'RectangleTable', 'WheelChair', 'NonWheelChair', 'BuildingNonResidential', 'NonWheelChair', 'Wheel', 'RoundTable', 'Bottle', 'Tree', 'BuildingNonResidential', 'House', 'Train']"
data/normalized/AircraftBuoyant/a1151.obj,AircraftBuoyant,"['AircraftBuoyant', 'Jet', 'Biplane', 'Jet', 'Biplane', 'Biplane', 'Jet', 'Insect', 'Jet', 'Biplane', 'Jet', 'Jet', 'House', 'Jet', 'Helicopter', 'Musical_Instrument', 'Jet', 'PlantWildNonTree', 'Jet', 'Jet', 'Jet', 'Jet', 'Jet', 'Motorcycle', 'Jet', 'Motorcycle', 'BuildingNonResidential', 'Jet', 'Jet', 'Starship', 'Jet', 'Helicopter', 'Jet', 'Motorcycle', 'Jet', 'Quadruped', 'Jet', 'Jet', 'NonWheelChair', 'PlantIndoors', 'Jet', 'Jet', 'Motorcycle', 'Jet', 'SubmachineGun', 'Bird', 'Humanoid', 'Helicopter', 'Helicopter', 'Helicopter', 'Biplane', 'Motorcycle', 'BuildingNonResidential', 'AquaticAnimal', 'Motorcycle', 'Motorcycle', 'Insect', 'Jet', 'Jet', 'Guitar', 'Bird', 'Insect', 'Biplane', 'Jet', 'Helicopter', 'Jet', 'Starship', 'Starship', 'Starship', 'Monoplane', 'Tool', 'Helicopter', 'AquaticAnimal', 'Motorcycle', 'Insect', 'Monoplane', 'Motorcycle', 'Biplane', 'Insect', 'Humanoid', 'Helicopter', 'Monoplane', 'AquaticAnimal', 'Monoplane', 'Jet', 'PlantWildNonTree', 'Skyscraper', 'Helicopter', 'Jet', 'Jet', 'Humanoid', 'Bicycle', 'Biplane', 'Jet', 'Helicopter', 'Insect', 'City', 'Jet', 'Helicopter', 'Jet']"
