querypath,queryclass,queryresults
data/normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,"['AircraftBuoyant', 'AircraftBuoyant', 'Mug', 'Mug', 'Monitor', 'Monitor', 'Shelf', 'Wheel', 'House', 'Cup', 'Car', 'Monitor', 'Vase', 'Vase', 'Mug', 'Vase', 'Computer', 'House', 'MultiSeat', 'Vase', 'Mug', 'Monitor', 'Monitor', 'Chess', 'Computer', 'Bed', 'Wheel', 'RoundTable', 'Mug', 'Hat', 'RoundTable', 'Cup', 'Monitor', 'Vase', 'BuildingNonResidential', 'RoundTable', 'MultiSeat', 'BuildingNonResidential', 'HumanHead', 'Mug', 'Car', 'Vase', 'MultiSeat', 'HumanHead', 'RoundTable', 'Apartment', 'RoundTable', 'MultiSeat', 'BuildingNonResidential', 'Apartment', 'Bus', 'House', 'Chess', 'RoundTable', 'MultiSeat', 'RectangleTable', 'BuildingNonResidential', 'Car', 'RectangleTable', 'HumanHead', 'MultiSeat', 'Cup', 'Apartment', 'Hand', 'Chess', 'Mug', 'HumanHead', 'FloorLamp', 'Computer', 'Apartment', 'Chess', 'Shelf', 'Bed', 'Shelf', 'HumanHead', 'Wheel', 'BuildingNonResidential', 'Hand', 'MultiSeat', 'Vase', 'Shelf', 'Computer', 'HumanHead', 'Apartment', 'Car', 'Mug', 'Mug', 'Quadruped', 'Drum', 'MilitaryVehicle', 'House', 'Bed', 'RectangleTable', 'MultiSeat', 'Wheel', 'Car', 'House', 'Hat', 'Mug', 'Car']"
data/normalized/AircraftBuoyant/m1341.obj,AircraftBuoyant,"['AircraftBuoyant', 'Guitar', 'Humanoid', 'Ship', 'Humanoid', 'Humanoid', 'Violin', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Gun', 'Humanoid', 'Humanoid', 'Gun', 'Humanoid', 'Humanoid', 'Train', 'AquaticAnimal', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Gun', 'Tool', 'AquaticAnimal', 'Humanoid', 'Gun', 'Tool', 'Ship', 'Humanoid', 'Humanoid', 'Ship', 'Humanoid', 'Humanoid', 'Bus', 'Humanoid', 'Tool', 'Jet', 'Tool', 'Tool', 'Humanoid', 'Humanoid', 'AquaticAnimal', 'Humanoid', 'Tool', 'Gun', 'Helicopter', 'AquaticAnimal', 'Humanoid', 'Truck', 'Gun', 'Tool', 'Humanoid', 'Humanoid', 'Humanoid', 'Train', 'Humanoid', 'Humanoid', 'Train', 'Helicopter', 'Humanoid', 'MultiSeat', 'Tool', 'Humanoid', 'Humanoid', 'Humanoid', 'Humanoid', 'Monoplane', 'AquaticAnimal', 'Starship', 'Humanoid', 'Humanoid', 'Tool', 'Musical_Instrument', 'AquaticAnimal', 'Rocket', 'Humanoid', 'Jet', 'Ship', 'Musical_Instrument', 'Starship', 'Jet', 'Tool', 'Hand', 'Car', 'Gun', 'Car', 'Humanoid', 'Jet', 'Gun', 'Humanoid', 'Humanoid', 'Sign']"
data/normalized/AircraftBuoyant/m1340.obj,AircraftBuoyant,"['AircraftBuoyant', 'Motorcycle', 'Motorcycle', 'Car', 'Motorcycle', 'Car', 'RectangleTable', 'Car', 'Motorcycle', 'DeskPhone', 'Hand', 'Humanoid', 'Car', 'Humanoid', 'Hand', 'Car', 'Car', 'RectangleTable', 'Gun', 'Motorcycle', 'Gun', 'Quadruped', 'Motorcycle', 'BuildingNonResidential', 'Quadruped', 'DeskPhone', 'Humanoid', 'Car', 'MultiSeat', 'Car', 'Truck', 'Car', 'Ship', 'Computer', 'DeskPhone', 'Monitor', 'Quadruped', 'Humanoid', 'Gun', 'Ship', 'Motorcycle', 'Bicycle', 'ClassicPiano', 'Car', 'Car', 'Quadruped', 'Car', 'Humanoid', 'AquaticAnimal', 'PlantIndoors', 'Humanoid', 'Bed', 'PlantIndoors', 'Humanoid', 'Biplane', 'Humanoid', 'Humanoid', 'TruckNonContainer', 'Humanoid', 'Truck', 'TruckNonContainer', 'Car', 'Car', 'Humanoid', 'Car', 'Computer', 'Quadruped', 'MultiSeat', 'Humanoid', 'Car', 'DeskPhone', 'Car', 'Biplane', 'Humanoid', 'Humanoid', 'Computer', 'DeskPhone', 'Quadruped', 'Truck', 'Chess', 'Rocket', 'MultiSeat', 'Musical_Instrument', 'Tool', 'TruckNonContainer', 'Humanoid', 'Computer', 'Humanoid', 'Motorcycle', 'Train', 'TruckNonContainer', 'Starship', 'Quadruped', 'Car', 'Car', 'Humanoid', 'Motorcycle', 'Humanoid', 'Car', 'Car']"
data/normalized/AircraftBuoyant/m1343.obj,AircraftBuoyant,"['AircraftBuoyant', 'HumanHead', 'HumanHead', 'Apartment', 'HumanHead', 'HumanHead', 'HumanHead', 'Hand', 'Cup', 'HumanHead', 'HumanHead', 'Computer', 'Shelf', 'Computer', 'Hand', 'HumanHead', 'HumanHead', 'HumanHead', 'Chess', 'HumanHead', 'Chess', 'HumanHead', 'HumanHead', 'Train', 'Hand', 'Monitor', 'Car', 'Car', 'HumanHead', 'HumanHead', 'Quadruped', 'Apartment', 'Quadruped', 'Train', 'HumanHead', 'Apartment', 'MilitaryVehicle', 'MilitaryVehicle', 'Car', 'Computer', 'Monitor', 'Bird', 'Car', 'Insect', 'House', 'MultiSeat', 'Car', 'Apartment', 'Bottle', 'Bus', 'House', 'Car', 'HumanHead', 'Car', 'BuildingNonResidential', 'Quadruped', 'MilitaryVehicle', 'RoundTable', 'Hand', 'Hand', 'Monitor', 'Car', 'MultiSeat', 'BuildingNonResidential', 'MilitaryVehicle', 'Car', 'BuildingNonResidential', 'Monitor', 'Hat', 'Hand', 'Hand', 'Car', 'Car', 'Monitor', 'Vase', 'Vase', 'Car', 'Skyscraper', 'Car', 'Apartment', 'Wheel', 'BuildingNonResidential', 'Car', 'MultiSeat', 'Computer', 'Bottle', 'Car', 'MilitaryVehicle', 'Bird', 'Computer', 'Quadruped', 'Hand', 'DeskPhone', 'Drum', 'Wheel', 'Hat', 'Wheel', 'Mug', 'Hand', 'Car']"
data/normalized/AircraftBuoyant/m1352.obj,AircraftBuoyant,"['AircraftBuoyant', 'Rocket', 'Humanoid', 'Apartment', 'Train', 'Quadruped', 'DeskPhone', 'Hand', 'Bird', 'BuildingNonResidential', 'Hand', 'Bird', 'Hand', 'Truck', 'Bird', 'Quadruped', 'Quadruped', 'Hand', 'Hand', 'Quadruped', 'Humanoid', 'Hand', 'Vase', 'Chess', 'DeskPhone', 'Starship', 'Quadruped', 'Hand', 'Hand', 'Hand', 'Starship', 'Skyscraper', 'Hand', 'MilitaryVehicle', 'MultiSeat', 'Tool', 'Hand', 'Chess', 'MilitaryVehicle', 'Hand', 'Quadruped', 'Car', 'DeskPhone', 'Hand', 'Hand', 'Car', 'Motorcycle', 'AquaticAnimal', 'Train', 'Hand', 'Skyscraper', 'Car', 'Insect', 'Car', 'Skyscraper', 'AquaticAnimal', 'Hand', 'Humanoid', 'Quadruped', 'DeskPhone', 'Hand', 'MilitaryVehicle', 'Bird', 'Skyscraper', 'NonWheelChair', 'MilitaryVehicle', 'Bus', 'Humanoid', 'Hand', 'Bird', 'Hand', 'Computer', 'BuildingNonResidential', 'Hand', 'Humanoid', 'Hand', 'Quadruped', 'Chess', 'Chess', 'Chess', 'Car', 'Train', 'Quadruped', 'Train', 'Gun', 'Wheel', 'Insect', 'DeskPhone', 'Chess', 'Computer', 'Quadruped', 'Quadruped', 'Bottle', 'Quadruped', 'Hand', 'Monitor', 'Chess', 'Car', 'Chess', 'Rocket']"
data/normalized/AircraftBuoyant/m1344.obj,AircraftBuoyant,"['AircraftBuoyant', 'Wheel', 'Mug', 'Wheel', 'RoundTable', 'Mug', 'House', 'Monitor', 'HumanHead', 'HumanHead', 'Monitor', 'Mug', 'Monitor', 'Monitor', 'MultiSeat', 'Hat', 'Mug', 'Monitor', 'Cup', 'RoundTable', 'Wheel', 'Bottle', 'Car', 'MultiSeat', 'MultiSeat', 'Shelf', 'Chess', 'Car', 'Shelf', 'Wheel', 'Wheel', 'Bus', 'Monitor', 'House', 'TruckNonContainer', 'Shelf', 'Quadruped', 'Apartment', 'HumanHead', 'Bed', 'Car', 'MultiSeat', 'Apartment', 'Hand', 'RectangleTable', 'MultiSeat', 'Mug', 'Apartment', 'Apartment', 'Quadruped', 'MultiSeat', 'Chess', 'HumanHead', 'Vase', 'Chess', 'Apartment', 'RectangleTable', 'Apartment', 'Chess', 'Computer', 'Mug', 'HumanHead', 'MultiSeat', 'MultiSeat', 'Vase', 'Mug', 'Mug', 'Vase', 'Computer', 'HumanHead', 'Hand', 'Starship', 'Chess', 'HumanHead', 'Car', 'Car', 'HumanHead', 'Car', 'Mug', 'Car', 'BuildingNonResidential', 'Bird', 'RectangleTable', 'BuildingNonResidential', 'Mug', 'Shelf', 'Wheel', 'HumanHead', 'Car', 'Apartment', 'PlantIndoors', 'DeskPhone', 'MultiSeat', 'Car', 'AircraftBuoyant', 'Chess', 'Car', 'Vase', 'Humanoid', 'House']"
data/normalized/AircraftBuoyant/m1350.obj,AircraftBuoyant,"['AircraftBuoyant', 'Truck', 'Chess', 'Chess', 'Apartment', 'Chess', 'DeskPhone', 'Chess', 'Hand', 'Humanoid', 'Hand', 'AircraftBuoyant', 'Chess', 'Quadruped', 'Hand', 'Quadruped', 'Hand', 'Hand', 'Guitar', 'Car', 'Truck', 'Humanoid', 'Starship', 'Chess', 'Car', 'DeskPhone', 'Quadruped', 'DeskPhone', 'Train', 'TruckNonContainer', 'BuildingNonResidential', 'Hand', 'MilitaryVehicle', 'Hand', 'Humanoid', 'Train', 'Skyscraper', 'Rocket', 'Quadruped', 'Train', 'AquaticAnimal', 'Motorcycle', 'Humanoid', 'Vase', 'DeskPhone', 'Humanoid', 'Bird', 'Humanoid', 'Car', 'DeskPhone', 'Quadruped', 'MultiSeat', 'Gun', 'Hand', 'Bird', 'Car', 'DeskPhone', 'Car', 'Insect', 'Quadruped', 'DeskPhone', 'Bird', 'Hand', 'TruckNonContainer', 'Truck', 'MultiSeat', 'Train', 'Car', 'Quadruped', 'DeskPhone', 'Mug', 'Humanoid', 'Skyscraper', 'BuildingNonResidential', 'Car', 'MultiSeat', 'Hand', 'Car', 'NonWheelChair', 'Quadruped', 'TruckNonContainer', 'MilitaryVehicle', 'Hand', 'Bird', 'Car', 'Chess', 'MultiSeat', 'DeskPhone', 'Hand', 'Ship', 'Tool', 'Quadruped', 'Starship', 'TruckNonContainer', 'Shelf', 'Hand', 'Tool', 'Hand', 'Humanoid', 'DeskPhone']"
data/normalized/AircraftBuoyant/m1351.obj,AircraftBuoyant,"['AircraftBuoyant', 'Guitar', 'Ship', 'Musical_Instrument', 'Tool', 'Bottle', 'Bottle', 'Rocket', 'Bus', 'Rocket', 'Cellphone', 'Humanoid', 'Cellphone', 'Train', 'Bus', 'Gun', 'Gun', 'Violin', 'Truck', 'AquaticAnimal', 'Gun', 'Tool', 'ComputerKeyboard', 'Gun', 'Sign', 'Ship', 'Gun', 'Hand', 'Truck', 'Humanoid', 'Violin', 'Humanoid', 'AircraftBuoyant', 'Humanoid', 'Tool', 'Rocket', 'Humanoid', 'Ship', 'Humanoid', 'AquaticAnimal', 'Humanoid', 'Truck', 'Humanoid', 'Guitar', 'Bottle', 'Guitar', 'Humanoid', 'Gun', 'Starship', 'Gun', 'Cellphone', 'AquaticAnimal', 'Bus', 'Musical_Instrument', 'Train', 'Humanoid', 'Hand', 'Computer', 'City', 'Bottle', 'Humanoid', 'Humanoid', 'Rocket', 'Humanoid', 'AquaticAnimal', 'Car', 'Gun', 'Humanoid', 'Door', 'Humanoid', 'Gun', 'Humanoid', 'Gun', 'Gun', 'Train', 'SubmachineGun', 'Tool', 'AquaticAnimal', 'MultiSeat', 'Humanoid', 'Humanoid', 'Skyscraper', 'Humanoid', 'Gun', 'Ship', 'Humanoid', 'Humanoid', 'Gun', 'Skyscraper', 'Humanoid', 'Tool', 'Humanoid', 'Humanoid', 'Ship', 'Ship', 'Humanoid', 'Jet', 'Gun', 'Humanoid', 'Humanoid']"
data/normalized/AircraftBuoyant/m1345.obj,AircraftBuoyant,"['AircraftBuoyant', 'WheelChair', 'WheelChair', 'WheelChair', 'Tree', 'Hat', 'NonWheelChair', 'Quadruped', 'BuildingNonResidential', 'DeskLamp', 'PlantIndoors', 'NonWheelChair', 'WheelChair', 'NonWheelChair', 'Starship', 'PlantIndoors', 'Insect', 'NonWheelChair', 'PlantIndoors', 'PlantIndoors', 'Quadruped', 'RoundTable', 'Car', 'Apartment', 'Car', 'Wheel', 'NonWheelChair', 'PlantIndoors', 'PlantIndoors', 'PlantIndoors', 'WheelChair', 'Mug', 'NonWheelChair', 'NonWheelChair', 'Shelf', 'Shelf', 'PlantIndoors', 'NonWheelChair', 'WheelChair', 'NonWheelChair', 'MilitaryVehicle', 'Shelf', 'NonWheelChair', 'NonWheelChair', 'Vase', 'Shelf', 'NonWheelChair', 'House', 'MultiSeat', 'Quadruped', 'NonWheelChair', 'ClassicPiano', 'NonWheelChair', 'PlantWildNonTree', 'Shelf', 'Car', 'WheelChair', 'TruckNonContainer', 'BuildingNonResidential', 'NonWheelChair', 'Bird', 'NonWheelChair', 'Insect', 'PlantIndoors', 'Quadruped', 'NonWheelChair', 'Mug', 'Apartment', 'BuildingNonResidential', 'PlantIndoors', 'Shelf', 'Cup', 'Quadruped', 'Car', 'Cup', 'Shelf', 'Chess', 'Apartment', 'Train', 'NonWheelChair', 'Bus', 'MilitaryVehicle', 'Hat', 'Apartment', 'Wheel', 'Apartment', 'Computer', 'NonWheelChair', 'Wheel', 'NonWheelChair', 'Hand', 'MultiSeat', 'NonWheelChair', 'Apartment', 'BuildingNonResidential', 'MilitaryVehicle', 'NonWheelChair', 'Hand', 'Cup', 'RectangleTable']"
data/normalized/AircraftBuoyant/a1151.obj,AircraftBuoyant,"['AircraftBuoyant', 'Jet', 'Jet', 'Jet', 'Motorcycle', 'Jet', 'Biplane', 'Jet', 'Jet', 'Musical_Instrument', 'Jet', 'Jet', 'Motorcycle', 'Bird', 'Monoplane', 'Motorcycle', 'Jet', 'Jet', 'Biplane', 'Biplane', 'Guitar', 'Jet', 'AquaticAnimal', 'AquaticAnimal', 'Jet', 'Tree', 'Jet', 'Jet', 'Jet', 'Jet', 'Humanoid', 'Jet', 'Helicopter', 'Jet', 'Jet', 'Tool', 'Bird', 'Jet', 'Jet', 'BuildingNonResidential', 'Jet', 'Gun', 'Jet', 'Bird', 'AquaticAnimal', 'Jet', 'Monoplane', 'Helicopter', 'AquaticAnimal', 'Jet', 'Insect', 'Jet', 'Starship', 'Gun', 'Humanoid', 'Insect', 'BuildingNonResidential', 'PlantWildNonTree', 'Jet', 'Humanoid', 'Jet', 'Insect', 'Jet', 'Jet', 'Jet', 'House', 'AquaticAnimal', 'Jet', 'Jet', 'PlantWildNonTree', 'Tool', 'Tool', 'Car', 'Humanoid', 'Tool', 'Monoplane', 'Quadruped', 'Humanoid', 'Helicopter', 'Biplane', 'PlantIndoors', 'PlantIndoors', 'Gun', 'Helicopter', 'Helicopter', 'Tool', 'Tool', 'Tool', 'Biplane', 'Tool', 'Insect', 'Monoplane', 'Biplane', 'Biplane', 'Motorcycle', 'Humanoid', 'Insect', 'Train', 'Gun', 'Jet']"
